Dryopteris formosana
Cercidiphyllum japonicum
Myotis rufoniger
Metaphire
Microporus affinis
Mammalia
Sus scrofa taivanus
Monachosorum henryi
Actias sinensis subaurea
Notodontidae
Fissistigma glaucescens
Epidaus sexspinus
Nidirana adenopleura
Ciconia boyciana
Melastoma candidum
Houttuynia cordata
Nephrolepis cordifolia
Solanum pseudocapsicum
Malvaviscus arboreus
Bayadera brevicauda
Orthetrum melania
Muntiacus reevesi
Matrona cyanoptera
Nephila pilipes
Canna indica
Coptocephala pallens
Hoplobatrachus chinensis
Polistes rothneyi
Kurixalus idiootocus
Pseudocopera ciliata
Corymica pryeri
Sipyloidea sipylus
Lycodon rufozonatus
Heteropoda venatoria
Argiope aetheroides
Eterusia
Macaca cyclopis
Lycianthes biflora
Murininae
Onychargia atrocyana
Vespa velutina
Nymphalidae
Asota plana
Hyla chinensis
Tettigoniidae
Titanodula formosana
Pomponia
Diploderma swinhonis
Debregeasia orientalis
Ceriagrion auranticum
Paracercion calamorum
Artona hainana
Agriocnemis femina oryzae
Xenocatantops humile
Lobelia chinensis
Glenea lineata sauteri
Languriini
Limnonectes fujianensis
Life
Momordica charantia
Bufo bankorensis
Hylarana latouchii
Trypoxylus dichotomus tsunobosonis
Amata perixanthia
Miltochrista sauteri
Pueraria montana lobata
Oenanthe javanica rosthornii
Paederia foetida
Lagerstroemia subcostata
Nyctemera adversata
Argiope
Spilornis cheela
Polypedates braueri
Anura
Takydromus viridipunctatus
Draconinae
Fejervarya limnocharis
Theopompa ophthalmica
Oligodon formosanus
Orthetrum triangulare
Vespa ducalis
Lyriothemis elegantissima
Pomacea canaliculata
Gastropoda
Lepidoptera
Trapa
Cryptalaus larvatus
Lymantria monacha
Crassocephalum crepidioides
Potamiscinae
Ascalaphinae
Cyrtarachne
Odorrana swinhoana
Trachyzulpha formosana
Pseudorhynchus gigas
Sphenomorphus
Arachniodes
Scincidae
Rubus rosifolius
Cryptotympana holsti
Erionota torus
Hexacentrus unicolor
Begonia formosana
Carex cruciata
Nesiohelix swinhoei
Mecopoda niponensis
Leucauge
Oxya
Rhene atrata
Colocasia esculenta
Ardisia virens
Setaria palmifolia
Selaginella
Boehmeria formosana
Paraphlomis javanica
Nekemias cantoniensis
Diplazium dilatatum
Ctenitis eatonii
Urticaceae
Angiospermae
Alpinia zerumbet
Diplazium viridissimum
Tetragnathidae
Rubus
Coccinelloidea
Maesa perlaria formosana
Ericaceae
Syzygium formosanum
Neoscona
Anabropsini
Anax
Trapa natans
Parapodisma
Polyommatini
Eurema blanda
Brachydiplax chalybea flavovittata
Alcippe morrisonia
Sabia swinhoei
Crematogaster
Parantica aglea maghaba
Ictinogomphus rapax
Lygodium japonicum
Aves
Alsophila spinulosa
Orthetrum pruinosum neglectum
Athyma selenophora
Graphium doson postianus
Araneae
Macroglossinae
Ypthima
Hypolimnas bolina kezia
Cyperaceae
Mallotus japonicus
Argynnis hyperbius
Polistes
Vespa basalis
Ceriagrion auranticum ryukyuanum
Xenocatantops brachycerus
Ludwigia octovalvis
Drymaria cordata
Cyperus exaltatus
Cosmodela batesi
Equisetum ramosissimum
Hoya carnosa
Reynoutria multiflora
Pseudognaphalium affine
Saurauia tristyla oldhamii
Rubus fraxinifolius
Dysphania ambrosioides
Athyma cama zoroastres
Hydrocotyle nepalensis
Thelypteridoideae
Kanoscarta kanoniella
Euphaea formosa
Persicaria chinensis
Calyptratae
Amaurornis phoenicurus
Ideopsis similis
Ceriagrion fallax
Oenanthe javanica
Pantala flavescens
Orthetrum sabina
Salticidae
Jamides alecto dromicus
Ricania sublimata
Tipulidae
Syrphidae
Cletus punctiger
Tetriginae
Pistia stratiotes
Hedychium coronarium
Ceratopteris thalictroides
Brachydiplax chalybea
Ischnura senegalensis
Acisoma panorpoides
Syntomoides imaon
Machilus zuihoensis
Vagitanus terminalis
Psolodesmus mandarinus mandarinus
Graphium sarpedon
Popillia
Jamides alecto
Rhinolophus monoceros
Opogona nipponica
Syntomini
Bradybaena similaris
Takydromus
Lissachatina fulica
Bungarus multicinctus
Gymnastes shirakii
Hasarius adansoni
Fungi
Tachybaptus ruficollis
