Hemielimaea formosana
Phelotrupes formosanus
Opiliones
Nymphalis xanthomelas
Myophonus insularis
Polypodiodes formosana
Indolestes cyaneus
Ficus erecta beecheyana
Aix galericulata
Caelifera
Aix sponsa
Anas platyrhynchos
Cygnus atratus
Amorphophallus kiusianus
Cinnamomum austrosinense
Zhangixalus prasinatus
Dianthus palinensis
Asarum ampulliflorum
Jasminum lanceolarium
Acer palmatum
Brassica oleracea acephala
Coleoptera
Euterpnosia
Actias ningpoana
Loepa formosensis
Mesastrape fulguraria
Amblychia angeronaria
Basidiomycota
Monachosorum henryi
Selaginella doederleinii
Polypodiidae
Geastraceae
Camellia
Sympetrum speciosum taiwanum
Megalestes riccii
Sinolestes editus
Paratimomenus flavocapitata
Symplocos sumuntia
Lysionotus pauciflorus pauciflorus
Impatiens uniflora
Medinilla fengii
Strobilanthes rankanensis
Machilus thunbergii
Strobilanthes formosana
Salvia nipponica formosana
Euonymus spraguei
Actinidia venosa
Ericales
Machilus japonica
Tetrastigma obtectum glabrum
Vaccinium emarginatum
Lindera communis
Sloanea dasycarpa
Mauremys mutica mutica
Actinidia callosa discolor
Meghimatium bilineatum
Rohdea fargesii
Rhododendron kanehirae
Palirisa cervina formosana
Langia zenzeroides
Ourapteryx changi
Macrocilix mysticata flavotincta
Entomopteryx rubridisca
Heterophleps variegata
Scopula
Bertula kosemponica
Nudaria suffusa
Horithyatira decorata
Diphtherocome pulchra
Thysanoptyx incurvata
Discoglypha locupletata
Rhododendron pseudochrysanthum
Sorbus randaiensis
Urtica thunbergiana
Rhododendron × pulchrum
Magnoliopsida
Plantae
Paris polyphylla
Hemadius oenochrous
Lycodon ruhstrati
Anura
Tetradium ruticarpum
Tetrapanax papyrifer
Arisaema taiwanense
Arisaema taiwanense taiwanense
Nidulariaceae
Cosmodela batesi
Melastoma candidum
Sarcopyramis napalensis
Dicliptera japonica
Hydrangea paniculata
Ageratum houstonianum
Elatostema lineolatum
Shortia rotundifolia
Diplazium kawakamii
Polycanthagyna erythromelas
Cinnamomum camphora
Cordia dichotoma
Broussonetia papyrifera
Rhus chinensis roxburghii
Morus indica
Clematis grata
Callicarpa formosana
Zanthoxylum ailanthoides
Ampelopsis glandulosa
Eriobotrya japonica
Psidium guajava
Alocasia odora
Vernicia montana
Quercus glauca
Aralia bipinnata
Nephrolepis biserrata
Musa × paradisiaca
Boehmeria nivea tenacissima
Boehmeria nivea
Nephrolepis cordifolia
Bidens alba
Buddleja asiatica
Artemisia capillaris
Boehmeria densiflora
Millettieae
Styrax formosanus
Christella parasitica
Rubus corchorifolius
Debregeasia orientalis
Dicranopteris linearis
Asteraceae
Ficus virgata
Polypodiopsida
Moraceae
Mussaenda
Psychotria serpens
Itea parviflora
Turpinia
Mallotus paniculatus
Deutzia pulchra
Trema orientale
Paederia foetida
Erigeron
Paspalum conjugatum
Miscanthus floridulus
Stachyurus himalaicus
Drymaria cordata
Persicaria chinensis
Colocasia esculenta
Boehmeria zollingeriana podocarpa
Arenga
Anredera cordifolia
Telchinia issoria
Eleusine indica
Pilea microphylla
Xanthosoma sagittifolium
Lagerstroemia subcostata
Ruellia simplex
Molineria capitulata
Ceriagrion fallax
Coeliccia cyanomelas
Odorrana swinhoana
Orthetrum melania continentale
Sympetrum speciosum
Crocosmia × crocosmiiflora
Orthetrum melania
Musa itinerans
Scirpus ternatanus
Gymnosphaera podophylla
Smilacaceae
Calanthe masuca
Litsea acuminata
Dioscorea cirrhosa
Lithocarpus
Pericampylus glaucus
Wendlandia formosana
Oreocnide pedunculata
Blastus cochinchinensis
Arachniodes amabilis fimbriata
Carex cruciata
Saurauia tristyla oldhamii
Nekemias cantoniensis
Ardisia virens
Helicia formosana
Smilax bracteata verruculosa
Apiales
Setaria sphacelata
Salvia rosmarinus
Melastomataceae
Calliandra tergemina
Elaeocarpus decipiens
Araceae
Maesa perlaria formosana
Ficus erecta
Quercus gilva
Castanopsis carlesii
Alnus formosana
Symplocos glauca
Diplazium dilatatum
Clerodendrum trichotomum
Symplocos konishii
Mammalia
Dryopteris paleolata
Diplazium laxifrons
Polystichum hancockii
Trigonotis formosana elevatovenosa
Thuidiaceae
Selaginella delicatula
Marchantiophyta
Elatostema parvum
Asplenium nidus
Diplazium doederleinii
Lasianthus fordii
Bryopsida
Lepidomicrosorium ningpoense
Pilea angulata
Miscanthus
Oplismenus compositus
Rubiaceae
Mallotus japonicus
Mosla scabra
Aralia decaisneana
Histiopteris incisa
Ilex asprella
Perrottetia arisanensis
Bredia oldhamii
Rubus croceacanthus croceacanthus
Palhinhaea cernua
Theaceae
Alniphyllum pterospermum
Machilus zuihoensis
Amauropelta beddomei
Torenia concolor
Boehmeria formosana
Polytrichaceae
Ilex ficoidea
Symplocos cochinchinensis laurina
Dennstaedtia scandens
Rubus
Callicarpa
Maesa japonica
Alsophila spinulosa
Magnolia compressa formosana
Engelhardia roxburghiana
Setaria palmifolia
Cercopoidea
Phoebe formosana
Cleyera japonica morii
Rubus lambertianus lambertianus
Causonis corniculata
Calamus formosanus
Lepidomicrosorium
Cucurbitaceae
Piper kadsura
Archidendron lucidum
Blechnum orientale
Coniogramme intermedia
Piper sintenense
Sambucus javanica
Viburnum luzonicum
Lemmaphyllum microphyllum
Gynostemma pentaphyllum
Arachniodes festina
Amischotolype
Asplenium antiquum
Heptapleurum heptaphyllum
Fungi
Zingiberaceae
Elatostema platyphyllum
Bufo bankorensis
Epedanidae
Typopeltis crucifer
Zhangixalus moltrechti
Hylarana latouchii
Neolucanus
Protobothrops mucrosquamatus
Boiga kraepelini
Magadha
Jankowskia taiwanensis
Cymoriza
Perizoma fasciaria
Eilema pulverea
Panilla
Microcalicha melanosticta
Hypena
Nudaria ranruna
Schrankia seinoi
Dindica taiwana
Nacna splendens
Acosmerycoides harterti
Diathrausta profundalis
Uraniidae
Lepidoptera
Bertula parallela
Laelia striata
Gargela
Harutalcis fumigata
Organopoda carnearia
Neopseustis meyricki
Macrocilix maia
Cyana subalba
Hemithea
Timandra stueningi
Agrotera
Miresa fulgida
Bertula incisa
Cyana formosana
Barsine
Hesudra divisa
Philenora latifasciata
Podontia lutea
Gryllotalpinae
Acanthophippium sylhetense
Polygala paniculata
Prunus phaeosticta
Acanthophippium striatum
Calanthe densiflora
Dendrobium nakaharae
Actinopterygii
Strobilanthes wallichii
Orthetrum glaucum
Crotalaria trichotoma
Prunus zippeliana
Lophura swinhoii
Sibatania arizana
Urticaceae
Geoplanoidea
Sphagnum
Helicarionoidea
Kurixalus eiffingeri
Cryptomeria japonica
Plagiogyria euphlebia
Plagiostigma
Oxalis corniculata
Lycopodium clavatum
Lobelia nummularia
Justicia procumbens
Dichrocephala integrifolia
Potentilla hebiichigo
Nidirana adenopleura
Laccotrephes
Thomisidae
Cifuna locuples
Polydesmida
Scarabaeidae
Salticidae
Neoepedanus
Neolucanus swinhoei
Entelegynae
Iris japonica
Ardea alba
Petaurista lena
Platyhelminthes
Mauremys sinensis
Yuhina brunneiceps
Phoenicurus auroreus
Plestiodon elegans
Callosciurus erythraeus
Viola formosana
Arisaema ringens
Selaginella
Davallia trichomanoides
Rubus pectinellus
Pellionia radicans
Pilea aquarum
Sanicula lamelligera
Dendrobium moniliforme
Mazus goodenifolius
Arisaema heterophyllum
Mazus miquelii
Senecio nemorensis dentatus
Parantica sita
Polyporales
Placentalia
Life
Bazzania
Ganoderma
Pyrrosia lingua
Dysosma pleiantha
Ageratina riparia
Vamuna alboluteola
Epidaus
Physopelta quadriguttata
Lasianthus hispidulus
Procris laevigata
Asplenium wrightii
Lindera megaphylla
Eurya
Vandenboschia auriculata
Aeschynanthus acuminatus
Decaneuropsis gratiosa
Sarcandra glabra
Pilea rotundinucula
Mercurialis leiocarpa
Macaca cyclopis
Trabala vishnou
Liparis bootanensis
Rhododendron latoucheae
Yushania niitakayamensis
Orchidaceae
Pteris wallichiana
Ficus
Muntiacus reevesi
Acer serrulatum
Malvaceae
Soliva
Oenanthe javanica
Pseudognaphalium affine
Pseudosasa usawai
Acer caudatifolium
Cleyera japonica
Rosaceae
Prunus campanulata
Tracheophyta
Itea oldhamii
Hydrangea chinensis
Lithocarpus brevicaudatus
Pyrenaria microcarpa
Cyclobalanopsis
Meliosma squamulata
Quercus sessilifolia
Cinnamomum subavenium
Bambusoideae
Ampelopsis glandulosa hancei
Stauntonia obovatifoliola
Quercus longinux
Elaeocarpus japonicus
Hydrangea viburnoides
Machilus
Angiopteris lygodiifolia
Musa
Machilus japonica kusanoi
Neolitsea konishii
Cryptocarya chinensis
Agaricomycetes
Phanera championii
Lasianthus attenuatus attenuatus
Psychotria asiatica
Euonymus laxiflorus
Styrax suberifolius
Castanopsis
Ilex goshiensis
Hoya carnosa
Ficus formosana
Asplenium cuneatiforme
Turpinia formosana
Ardisia crenata
Arenga engleri
Pouzolzia sanguinea elegans
Rubus formosensis
Saccharinae
Puhuaea sequax
Microlepia smithii
Pilea melastomoides
Haplopteris elongata
Solanum nigrum
Coniogramme
Saurauia tristyla
Melastoma malabathricum
Sphaeropteris lepifera
Petasites formosanus
Asplenium pseudolaserpitiifolium
Citrus maxima
Ardisia chinensis
Lasianthus micranthus
Oleaceae
Plenasium banksiifolium
Begonia formosana
Vitaceae
Reynoutria multiflora
Senecioninae
Muntiacus reevesi micrurus
Heptapleurum arboricola
Anodendron benthamianum
Woodwardia prolifera
Rhus
Acosmeryx naga
Pergesa acteus
Anas crecca
Brahmaeidae
Clinopodium gracile
Polygonum
Pseudocyclosorus esquirolii
Hydrangea integrifolia
Woodwardia unigemmata
Acer morrisonense
Phraortes
Scutellaria barbata
Duolandrevus coulonianus
Aegus laevicollis formosae
Curculionidae
Phaneropterinae
Carabidae
Amarygmini
Pyrocoelia formosana
Melolonthinae
Nacerdes
Eusomidius rostralis
Strongylium
Tipulomorpha
Polyphylla taiwana
Parapentacentrus formosanus
Alleculinae
Neuroptera
Episcapha fortunii
Lagriini
Dermaptera
Trachelospermum asiaticum
Angiospermae
Millettia pachycarpa
Papilio thaiwanus
Tectaria harlandii
Gomphrena
Hemipyxis
Sinarella
Psilalcis albibasis
Parasa sinica
Tetragnathidae
Tortricidae
Scopula propinquaria
Pterygida ornaticapitata
Lobogonia aculeata
Lobogonia formosana
Thubana microcera
Nygmiini
Marumba cristata bukaiana
Formofentonia orbifer rotundata
Shaka atrovittatus
Lemyra fallaciosa
Pyraloidea
Crocidolomia subhirsutalis
Parasiccia punctilinea
Trichophysetis duplifascialis
Perixera
Tettigoniidae
Deltoplastis
Hastina subfalcaria
Acolutha pictaria imbecilla
Crambidae
Notonagemia analis gressitti
Erebidae
Geometridae
Asuridia rubripennis
Pangrapta
Bertula bidentata
Tanaoctenia haliaria
Sewa taiwana
Ecliptopera umbrosaria stathera
Pterotosoma castanea
Yashmakia suffusa
Episcapha
Chorodna creataria
Xerodes
Avatha chinensis
Dendrolimus arizana
Heterophleps
Mithuna arizana
Deileptenia argillacearia
Prismosticta fenestrata
Paracymoriza nigra
Thinopteryx nebulosa
Cidariplura bilineata
Quasinarosa
Ammatho
Asuridia
Monema rubriceps
Wittstrotia
Percnia luridaria nominoneura
Bradina
Synegiodes ornata
Thyrididae
Syrastrena sumatrana obliquilinea
Narosoideus
Xanthorhoe saturata
Macrobrochis staudingeri formosana
Issikiopteryx taipingensis
Cicadinae
Coptis morii
Heterophasia auricularis
Sus scrofa taivanus
Rhomboda yakusimensis
Lasioglossum
Wahlenbergia marginata
Neanotis formosana
Rubus swinhoei
Ophiopogon intermedius
Ligustrum
Callicarpa randaiensis
Potentilla
Sarcopyramis napalensis delicata
Eriocapitella vitifolia
Chrysomelidae
Tanna
Galerucinae
Sittiparus castaneoventris
Phlegmariurus fordii
Oriolus traillii
Viverricula indica
Galeola falconeri
Hebius sauteri
Gomphrena celosioides
Agaricineae
Crepidium matsudae
Pieris canidia
Prosopocoilus astacoides blanchardi
Sinomicrurus sauteri
Nacna
Houttuynia cordata
Hydrangea macrophylla
Pogonopygia pavida
Gentiana davidii formosana
Impatiens walleriana
Machlolophus holsti
Galinsoga quadriradiata
Tradescantia fluminensis
Lysionotus pauciflorus
Cryptotaenia japonica
Parus monticolus
Enicurus scouleri
Pterorhinus ruficeps
Nisaetus nipalensis
Graphium doson
Ictinaetus malaiensis
Cyprinus rubrofuscus
Chlorogomphus suzukii
Sasakia charonda
Liocichla steerii
Coelops frithii formosanus
Agrypninae
Lycodon rufozonatus
Mogera kanoana
Campsosternus
Paragymnopleurus
Panesthiinae
Causonis
Celosia
Gomphrena serrata
Trimeresurus stejnegeri
Amantis nawai
Thrixspermum laurisilvaticum
Hypericum japonicum
Trichosanthes laceribractea
Psolodesmus mandarinus
Zygaenidae
Hemiboea bicornuta
Odontochilus lanceolatus
Tagiades cohaerens
Araneae
Polypodiastrum mengtzeense
Psilopogon nuchalis
Lecithocerinae
Machimus
Myiomela leucura
Callistopteris polyanthos
Soritia strandi
Sedum mexicanum
Persicaria biconvexa
Goodyera foliosa
Oplismenus hirtellus
Tetrastigma obtectum
Lithosiina
Ginkgo biloba
Leucauge
Hesperiinae
Tubocapsicum anomalum
Silene baccifera
Tricyrtis formosana
Tripterospermum alutaceifolium
Damnacanthus indicus
Collabium formosanum
Scleria terrestris
Adenostemma lavenia lavenia
Araneidae
Polypodiales
Strobilanthes
Clematis tashiroi
Xandrames dholaria
Noctuidae
Lassaba parvalbidaria
Biston
