Diploderma brevipes
Rhododendron rubropilosum taiwanalpinum
Quercus sessilifolia
Litsea morrisonensis
Goodyera velutina
Daphne arisanensis
Daphne kiusiana atrocaulis
Juncus effusus
Rhodobryum giganteum
Hydrangea aspera
Engelhardia roxburghiana
Symplocos heishanensis
Litsea acuminata
Symplocos sonoharae
Adinandra lasiostyla
Symplocos stellaris
Monachosorum maximowiczii
Polypodiastrum mengtzeense
Pyrrosia sheareri
Picea morrisonicola
Urtica thunbergiana
Lonicera acuminata
Prinsepia scandens
Arisaema ilanense
Rubus rolfei
Lophura swinhoii
Trigonotis nankotaizanensis
Calanthe puberula
Cornus controversa
Damnacanthus indicus
Lactarius
Amanita
Neolitsea acuminatissima
Ellisiophyllum pinnatum
Ainsliaea
Prunus
Berberis kawakamii
Toxicodendron orientale
Rubus liui
Lycidae
Plagiogyria stenoptera
Pieris japonica
Ardisia crenata
Polypodiales
Selliguea lehmannii
Dryopteris paleolata
Coprinellus disseminatus
Symplocos lancifolia
Skimmia japonica
Ardisia japonica
Plagiogyria euphlebia
Sassafras randaiense
Abies kawakamii
Yushania niitakayamensis
Tsuga chinensis formosana
Juniperus formosana
Argentina leuconota
Taiwania cryptomerioides
Selaginella remotifolia
Bulbophyllum albociliatum
Huperzia serrata longipetiolata
Photinia niitakayamensis
Pinus armandi mastersiana
Oxalis griffithii
Apiales
Cystopteris moupinensis
Cerastium subpilosum
Polystichum stenophyllum
Magnoliopsida
Dicranaceae
Rhododendron pseudochrysanthum
Lepisorus
Chamaecyparis
Theaceae
Rhododendron rubropilosum
Ericaceae
Hydrangea integrifolia
Heptapleurum taiwanianum
Pieris japonica taiwanensis
Vaccinium emarginatum
Fungi
Ribes formosanum
Mammalia
Rosaceae
Sedum
Agaricomycetes
Albizia julibrissin
Dysphania ambrosioides
Equisetum ramosissimum ramosissimum
Eriocapitella vitifolia
Buddleja asiatica
Coriaria intermedia
Hydrocotyle
Polypodiidae
Rhododendron
Eurya
Ainsliaea henryi
Rhododendron latoucheae
Fomitopsis
Rosa transmorrisonensis
Artiodactyla
Rhododendron oldhamii
Bryophyta
Berberis hayatana
Eupatorium tashiroi
Cymbidium lancifolium aspidistrifolium
Dysosma pleiantha
Nubelaria arisanensis
Pinus taiwanensis
Bletilla formosana
Eupatorium formosanum
Petasites formosanus
Itea parviflora
Boehmeria densiflora
Albizia
Leucaena leucocephala
Arundo formosana
Equisetum ramosissimum
Prunus phaeosticta
Rhododendron formosanum
Tracheophyta
Quercus longinux
Chamaecyparis obtusa
Chamaecyparis obtusa formosana
Plantae
Daphniphyllum himalaense
Clerodendrum trichotomum
Pinales
Elaeocarpus japonicus
Acer morrisonense
Rubus kawakamii
Pteris wallichiana
Hydrangea fauriei
Euonymus spraguei
Trochodendron aralioides
Chamaecyparis formosensis
Angiospermae
Gastrochilus formosanus
Quercus morii
Viburnum furcatum
Eurya leptophylla
Symplocos migoi
Plagiogyria glauca
Cleyera japonica
Barthea barthei
Symplocos wikstroemiifolia
Viburnum urceolatum
Dendropanax dentiger
Skimmia japonica distinctevenulosa
Photinia beauverdiana notabilis
Monotropastrum humile glaberrimum
Ilex hayataiana
Litsea cubeba
Machilus thunbergii
Ternstroemia gymnanthera
Schima superba
Chlorophyllum neomastoideum
Hebius miyajimae
Melastoma scaberrimum
Scarabaeinae
Hymenophyllum okadae
Anoectochilus
Bulbophyllum retusiusculum
Neolucanus swinhoei
Pteris setulosocostulata
Osmunda banksiifolia
Chrysorabdia vilemani
Monachosorum henryi
Goodyera
Cephalotaxus harringtonia wilsoniana
Callicarpa formosana
Syneilesis subglabrata
Rubus fraxinifolius
Lepidoptera
Cheirostylis liukiuensis
Polystichum hancockii
Polystichum integripinnum
Loxogramme salicifolia
Microlepia strigosa
Vandenboschia auriculata
Oberonia arisanensis
Ligustrum morrisonense
Odontochilus yakushimensis
Chrysoglossum ornatum
Zeuxine integrilabella
Litsea cubeba formosana
Mniaceae
Fatsia polycarpa
Oudemansiella
Sarcandra glabra
Mucuna macrocarpa
Rhododendron kawakamii
Cremastra appendiculata
Pyrrhobryum
Prionus
Lemyra imparilis
Paragymnopleurus ambiguus
Sambucus javanica
Symplocos
Phaneropterinae
Trichosanthes cucumeroides
Arachniodes festina
Osmanthus heterophyllus
Laetiporus sulphureus
Russula
Sarcopyramis napalensis delicata
Bufo bankorensis
Vaccinium japonicum lasiostemon
Dicranales
Rosalia lesnei
Lobelia nummularia
Platanthera mandarinorum pachyglossa
Sinomenium acutum
Odontochilus lanceolatus
Cirsium
Platanthera brevicalcarata
Coltricia
Monotropoideae
Hylocomium splendens
Usnea
Monotropa hypopitys
Cymbidium lancifolium
Persicaria chinensis
Prunella collaris
Stemonitis
Macleaya cordata
Auriculariaceae
Sitta europaea
Ailanthus altissima tanakai
Arisaema taiwanense
Stauntonia obovatifoliola
Cinnamomum subavenium
Araiostegia perdurans
Diplazium fauriei
Polystichum parvipinnulum
Acer palmatum
Dryopteris kawakamii
Stauntonia purpurea
Asplenium wilfordii wilfordii
Hydrangea chinensis
Dryopteris formosana
Goniophlebium mengtzeense
Diplazium kawakamii
Alpinia japonica
Epilobium amurense
Phytolacca japonica
Lilium formosanum
Rhaphiolepis indica
Polytrichaceae
Swertia macrosperma
Miscanthus
Pinus armandi
Silene morrisonmontana glabella
