Hydrangea involucrata longifolia
Juglans mandshurica mandshurica
Mitrastemon yamamotoi
Neottia deltoidea
Pyrrosia sheareri
Lepisorus obscurevenolusus
Cerambycinae
Polytrichaceae
Asplenium
Asarum ampulliflorum
Smilax bracteata
Bryopsida
Photinia beauverdiana notabilis
Damnacanthus angustifolius
Fungi
Syneilesis subglabrata
Phaius flavus
Anoectochilus
Ainsliaea latifolia
Rhododendron latoucheae
Sarcopyramis napalensis delicata
Collabieae
Rhomboda yakusimensis
Senecio nemorensis dentatus
Jurinea deltoidea
Bidens pilosa pilosa
Thladiantha nudiflora
Trichosanthes homophylla
Lophura swinhoii
Ophiopogon intermedius
Sonchus asper
Calanthe puberula
Ilex hayataiana
Trochodendron aralioides
Ardisia crenata
Ilex tugitakayamensis
Quercus morii
Ligustrum liukiuense
Neolitsea acuminatissima
Bidens pilosa
Tradescantia fluminensis
Rubus tephrodes setosissimus
Monotropastrum humile glaberrimum
Ilex lonicerifolia
Oxalis griffithii
Prunus phaeosticta
Schima superba
Calanthe aristulifera
Dicranaceae
Ennominae
Nezara viridula
Cletus
Persicaria perfoliata
Carpesium abrotanoides
Clavulinopsis aurantiocinnabarina
Arachniodes festina
Lepisorus
Lycoperdaceae
Goodyera schlechtendaliana
Thrixspermum laurisilvaticum
Goodyera daibuzanensis
Agaricomycetes
Amanita
Angiospermae
Rhyncocheilus
Neolucanus swinhoei
Dorcus hirticornis clypeatus
Themus sauteri
Leptaulax
Sabactiopus sauteri
Noctuidae
Uloma
Vespa mandarinia
Scutigerellidae
Eocanthecona
Panorpa deceptor
Cetoniinae
Trombidiidae
Lordithon
Geometridae
Dermaptera
Araneidae
Euthalia insulae
Kosalya
Satsuma albida
Lymantriinae
Robigus flexuosus
Phelotrupes taiwanus
Paragymnopleurus ambiguus
Lagriinae
Reduviidae
Trigonophorus dilutus
Tetrigidae
Trigonophorus rothschildi varians
Birthamula rufa
Chrysopidae
Cryptoderma formosense
Merus flavosignatus
Vertomannus emeia
Homoeocerus striicornis
Myophonus insularis
Ascomycota
Coprinus comatus
Agaricales
Polyporaceae
Sarcoscyphaceae
Entolomataceae
Hemiboea bicornuta
Begonia
Clavariaceae
Cardamine impatiens
Corydalis pallida
Corydalis balansae
Ajuga taiwanensis
Prunus taiwaniana
 
Ainsliaea henryi
Dianthus barbatus
Styrax formosanus
Arisaema taiwanense
Plagiogyria stenoptera
Daphniphyllum himalaense
Lysionotus pauciflorus
Polystichum hancockii
Polystichum lepidocaulon
Cinnamomum insularimontanum
Polystichum integripinnum
Elaeagnus grandifolia
Rubus pectinellus
Woodwardia unigemmata
Quercus sessilifolia
Pyrola
Stauntonia obovatifoliola
Actinodaphne mushaensis
Goniophlebium mengtzeense
Barthea barthei
Fatsia polycarpa
Cinnamomum
Arthrotus tricolor
Thuidium
Chamaecyparis formosensis
