Odorrana swinhoana
Limnonectes fujianensis
Agathia laetata
Cyana quadripartita
Myophonus insularis
Urocissa caerulea
Erasmia pulchella hobsoni
Fejervarya limnocharis
Hylarana latouchii
Buergeria choui
Lissachatina immaculata
Zhangixalus taipeianus
Harmonia dimidiata
Itea oldhamii
Peperomia japonica
Litsea cubeba
Arenga engleri
Desmodiinae
Sambucus javanica
Polypodiodes formosana
Teleopsis quadriguttata
Asiophrida spectabilis
Sedum actinocarpum
Drynaria coronans
Appias lyncida
Dryopteris varia
Lycianthes biflora
Asplenium cuneatiforme
Titanotrichum oldhamii
Microporus affinis
Bipaliinae
Melanitis
Neofelis nebulosa
Microhyla fissipes
Calanthe striata
Bidens alba
Cyclophorus formosaensis
Plectotropis mackensii
Centrochelys sulcata
Tessaratoma papillosa
Graphium doson
Dysosma pleiantha
Acanthophippium striatum
Ophioderma pendulum
Araneae
Bufo bankorensis
Titanodula formosana
Calletaera obliquata
Urva urva formosana
Cantao ocellatus
Asota plana lacteata
Graphium doson postianus
Chrysochroa fulgidissima
Columba livia domestica
Xenocatantops brachycerus
Euonymus laxiflorus
Polytrichaceae
Kurixalus eiffingeri
Mycalesina
Calanthe masuca
Pareas atayal
Ptyas dhumnades
Zhangixalus prasinatus
Ptyas major
Eugryllacris cylindrigera
Mecopoda elongata
Bungarus multicinctus
Pseudorhynchus gigas
Calanthe triplicata
Chitoria chrysolora
Ficus erecta beecheyana
Fraxinus griffithii
Pothos chinensis
Prunella vulgaris
Ageratum houstonianum
Tragelaphus eurycerus
Dichorragia nesimachus formosanus
Cyphochilus
Celastrina lavendularis
Choaspes benjaminii
Acridotheres cristatellus
Hydrangea chinensis
Tettigoniidae
Kurixalus idiootocus
Candidiopotamon rathbuni
Nesiohelix swinhoei
Bayadera brevicauda
Crocothemis servilia servilia
Attacus atlas formosanus
Riukiaria cohaesiva
Callidula attenuata
Buergeria robusta
Trimeresurus stejnegeri
Saurauia tristyla oldhamii
Neanotis hirsuta
Begonia formosana
Alocasia odora
Colocasia esculenta
Musa
Solanum capsicoides
Lemmaphyllum microphyllum
Ardisia virens
Pseudocyclosorus esquirolii
Tubocapsicum anomalum
Amischotolype glabrata
Boehmeria formosana
Ageratum conyzoides
Pteris wallichiana
Elatostema platyphyllum
Rorippa indica
Yinshania rivulorum
Scutellaria indica
Ixeridium laevigatum
Boehmeria nivea tenacissima
Lysionotus pauciflorus
Pilea rotundinucula
Dichrocephala integrifolia
Lucanus swinhoei
Papilio polytes
Neope muirheadii nagasawae
 
Hersiliidae
Dicliptera japonica
Cuphea carthagenensis
Lophura swinhoii
Cheirotonus formosanus
Physopelta quadriguttata
Zhangixalus moltrechti
Takydromus viridipunctatus
Narosoideus flavidorsalis
Plestiodon elegans
Cichorieae
Nidirana adenopleura
Apis cerana
Rubus rosifolius
Tagiades cohaerens
Anas crecca
Matrona cyanoptera
Orthetrum glaucum
Rhipidolestes aculeatus
Euphaea formosa
Pantala flavescens
Psacothea hilaris
Dicrurus aeneus
Pycnonotus sinensis
Hypsipetes leucocephalus
Dendrobium chameleon
Commelina diffusa
Poaceae
Selaginella involvens
Piper kadsura
Epicauta hirticornis
Insecta
Polydesmida
Ypthima multistriata
Sigmatoneura kolbei
Themus impressipennis
Reynoutria multiflora
Antrophyum formosanum
Asplenium nidus
Tetrastigma obtectum glabrum
Urceola rosea
Lampyridae
Myrmeleontidae
Neuroptera
Epilachna sauteri
Leucauge
Asplenium pseudolaserpitiifolium
Asplenium ritoense
Crepidomanes minutum
Viola nagasawae
Eurema andersoni
Hymenophyllum badium
Hymenasplenium
Diplazium doederleinii
Argiope perforata
Mycalesis francisca formosana
Asota heliconia zebrina
Tectaria
Cibotium cumingii
Torenia concolor
Chlorodontopera discospilata
Thereuopoda clunifera
Diplopterygium blotianum
Chieniopteris harlandii
Nephrolepis biserrata
Turpinia
Tricyrtis formosana formosana
Tipulidae
Brugmansia
Blumea megacephala
Aster indicus
Hedychium coronarium
Oplismenus compositus
Orthoptera
Tricyrtis formosana
Selaginella delicatula
Impatiens walleriana
Dumortiera hirsuta
Bryopsida
Plantae
Phanera championii
Rubioideae
Liliopsida
Aves
Cinclus pallasii
Chordata
Phoenicurus fuliginosus
Procris laevigata
Cerura
Aeschynanthus acuminatus
Trichosanthes cucumeroides
Impatiens
Epilachnini
Lepidoptera
Animalia
Nyctemera adversata
Scutellerini
Ardisia elliptica
Barringtonia racemosa
Asplenium
Pseudopoda
Lasianthus curtisii
Callianthe
Platycodon grandiflorus
Neurothemis taiwanensis
Sapindus mukorossi
Endromidae
Capricornis swinhoei
Acrossocheilus paradoxus
Opsariichthys pachycephalus
Codonacanthus pauciflorus
Fungi
Coprinellus disseminatus
Mazus fauriei
Piper
Orgyia postica
Pterygida ornaticapitata
Poecilocoris lewisi
Calliandra haematocephala
Stereaceae
Callianthe picta
Ilex pubescens
Macrobrachium asperulum
Cinclus pallasii pallasii
Trametes orientalis
Macrothele
Leptocoris
Mniaceae
Marchantiales
Selaginella remotifolia
Loxogramme salicifolia
Vandenboschia auriculata
Polistes rothneyi
Cigaritis syama
Hasora badra
Parantica swinhoei
Lymantria xylina
Anomala
Nephila pilipes
Necrophila cyaneocephala
Notobitus montanus
Baryrhynchus poweri
Lepidagathis formosensis
Carex baccans
Ophiorrhiza japonica
Elatostema lineolatum
Amischotolype
Geometridae
Sedum
Rhynchotechum discolor
Marchantia
Antrophyum obovatum
Birthamula rufa
Ascalaphinae
Liparis elliptica
Euproctis nigricauda
Vesicularia
Plagiomnium
Hypnales
Systropus
Chrysopidae
Chrysaeglia magnifica taiwana
Smilax bracteata
Tachinidae
Peperomia
Oides
Thunbergia marginata
Cyana
Lemyra imparilis
Geophilomorpha
Zingiber kawagoii
Sclomina erinacea
Blastus cochinchinensis
Haplopteris flexuosa
Telicota ohara formosana
Hexacentrus
Xylotrechus subscalaris basalis
Troides aeacus formosanus
Naucleeae
Cibotium barometz
