Diploderma polygonatum xanthostomum
Murina puta
Morus indica
Leucauge celebesiana
Aceraius grandis
Hydrophasianus chirurgus
Callopistria placodoides
Telicota ohara formosana
Erasmia pulchella hobsoni
Parasa shirakii
Actinidia venosa
Rana sauteri
Rubus rolfei
Deutzia pulchra
Callicarpa formosana
Ottelia alismoides
Salix kusanoi
Epipremnum aureum
Papilio memnon heronus
Euphaea formosa
Dysdercus cingulatus
Rhinogobius candidianus
Geothelphusa
Acrossocheilus paradoxus
Macrobrachium asperulum
Microstylum oberthurii
Podocarpus costalis
Utetheisa pulchella
Taiwania cryptomerioides
Parmarion martensi
Fejervarya limnocharis
Magnoliopsida
Flacourtia rukam
Onychostoma barbatulum
Drymaria cordata
Ficus subpisocarpa
Oenanthe javanica
Ageratum houstonianum
Mazus pumilus
Blumea linearis
Camellia japonica
Persicaria
Lepidoptera
Acridotheres javanicus
Urva urva formosana
Plantae
Nephrolepis cordifolia
Liquidambar formosana
Lemmaphyllum microphyllum
Davallia griffithiana
Juniperus chinensis
Geothelphusa albogilva
Phasmatidae
Anomala
Semecarpus gigantifolia
Heritiera littoralis
Alnus formosana
Rhodeus ocellatus
Anas crecca
Liliopsida
Orthetrum pruinosum neglectum
Cananga odorata
Barringtonia racemosa
Ennomini
Geometrinae
Pericrocotus solaris
Spirobolida
Geometroidea
Magnolia compressa
Sittiparus castaneoventris
Calanthe
Boehmeria
Pistacia chinensis
Cairina moschata
Potentilla hebiichigo
Boehmeria densiflora
Berberis hayatana
Zhangixalus prasinatus
Spilosomina
Araneae
Paederus fuscipes
Aquarius
Matrona cyanoptera
Fungi
Trithemis aurora
Thelacantha brevispina
Calanthe lyroglossa
Bulbophyllum setaceum
Viverricula indica pallida
Chamaecyparis formosensis
Burmannia itoana
Diplopoda
Chrysidini
Eurya
Anatidae
Passiflora edulis
Physcomitrium
Tetrapanax papyrifer
Equisetum ramosissimum
Dicrurus aeneus
Trametes cubensis
Dicranopteris
Entada rheedei
Selenicereus undatus
Bryopsida
Ficus microcarpa
Angiospermae
Drynaria coronans
Bambusoideae
Hypsipetes leucocephalus nigerrimus
Elatostema platyphyllum
Musa
Maesa perlaria
Liparis elliptica
Ranunculus cantoniensis
Commelina
Gonostegia triandra
Deparia petersenii
Miscanthus sinensis
Polistes gigas
Veronica peregrina
Handroanthus
Crematogaster
Spirobolus
Lissachatina fulica
Poaceae
Microsoroideae
Debregeasia orientalis
Cichorieae
Oxalis corniculata
Lentinus arcularius
Leucauge
Persicaria chinensis
Polypodiales
Solanum americanum
Bombus trifasciatus
Heteropoda venatoria
Kalanchoe pinnata
Orthetrum pruinosum
Tracheophyta
Ennominae
Formicidae
Musa acuminata
Osmanthus
Setaria palmifolia
Smeringopus pallidus
Sparassidae
Erebidae
Heteropoda
Hierodula
Polyporaceae
Typhonium blumei
Portulaca umbraticola
Psychodinae
Tinea pellionella
Mantodea
Arthropoda
Lecithocera
Cucujiformia
Felis catus
Medinilla formosana
Gastropoda
Sapindales
Ficus
Orthoptera
Tetramorium bicarinatum
Clinopodium gracile
Psyche
Kurixalus idiootocus
Stylommatophora
Anura
Nesiohelix swinhoei
Zhangixalus moltrechti
Insecta
Hemidactylus
Salticidae
Spirobolus formosae
Opisthoplatia orientalis
Eterusia
Opiliones
Acrididea
Phalangioidea
Teleogryllus occipitalis
Trimeresurus stejnegeri
Reynoutria multiflora
Hemisteptia lyrata
Plantago asiatica
Ageratum conyzoides
Hoplobatrachus chinensis
Polistes rothneyi
Pseudognaphalium affine
Melastoma candidum
Brugmansia suaveolens
Cenchrus purpureus
Hoya carnosa
Chiroptera
Dennstaedtia scandens
Thyrocarpus sampsonii
Spermatodes variolosus
Macrosiphum
Soliva anthemifolia
Polygala paniculata
Cyperus
Araneomorphae
Lonicera hypoglauca
Erechtites valerianifolius
Alpinia uraiensis
Alsophila spinulosa
Impatiens walleriana
Begonia longifolia
Microlepia nepalensis
Arachnida
Sida rhombifolia
Cyperus brevifolius
Leptocorisa
Paspalum urvillei
Tenthredinidae
Diplazium dilatatum
Oxalis debilis
Axonopus compressus
Kaniska canace
Nymphalidae
Celastrina
Ptocasius
Poa annua
Oreocnide pedunculata
Paederia foetida
Clematis grata
Hydrotaea
Pseudoxya diminuta
Eucriotettix
Alocasia odora
Caelifera
Coleoptera
Bidens alba
Osoriinae
Luperus
Cenchrus setaceus
Tulbaghia violacea
Codiaeum variegatum
Trigoniulus corallinus
Polistes
Ardisia sieboldii
Cuphea carthagenensis
Mecardonia procumbens
Heterostemma brownii
Liparis sootenzanensis
Celenna festivaria
Lobelia nummularia
Bambusicola sonorivox
Asteraceae
Crambidae
Noctuoidea
Siler cupreus
Macrobrochis gigas
Uraecha angusta
Hypomecis
Macroglossini
Emberiza spodocephala
Accipiter trivirgatus
