Lycodon ruhstrati
Pareas atayal
Polyura narcaea meghaduta
Asarum taipingshanianum
Sphenomorphus indicus
Monotropastrum humile
Cheiropleuria integrifolia
Calanthe aristulifera
Matrona cyanoptera
Prunus campanulata
Trimeresurus stejnegeri
Lycodon rufozonatus
Protobothrops mucrosquamatus
Neopanorpa
Dichorragia nesimachus
Xystodesmidae
Calosoma maximowiczi
Lemmaphyllum microphyllum
Eupatorium chinense tozanense
Impatiens tayemonii
Psolodesmus mandarinus dorothea
Orthetrum triangulare
Dendrocopos leucotos
Euthalia formosana
Kaniska canace
Anoplophora wusheana
Polyporales
Melaleuca
Sephisa daimio
Agaricales
Crocosmia × crocosmiiflora
Medinilla fengii
Lycoperdon
Epilachnini
Amanita
Boletales
Prosopocoilus forficula
Rhaetulus crenatus
Prosopocoilus astacoides blanchardi
Polistes gigas
Liriope muscari
Serrognathus titanus sika
Pseudorhaetus sinicus concolor
Neolucanus swinhoei
Kurixalus eiffingeri
Satsuma polymorpha
Lophura swinhoii
Deronectina
Lepidoptera
Sephisa chandra
Shortia rotundifolia
Abraximorpha davidii
Pieris canidia
Ampittia virgata myakei
Traulia ornata
Tagiades cohaerens
Timelaea albescens
Cyrtophora moluccensis
Sinopodisma shirakii
Kallima inachus formosana
Liriope
Ardisia violacea
Calanthe puberula
Illicium arborescens
Elaeocarpus japonicus
Sarcandra glabra
Persicaria pubescens
Penthema formosanum
Cupha erymanthis
Ypthima baldus zodina
Daimio tethys moori
Discophora sondaica
Seseria formosana
Celastrina lavendularis himilcon
Neope muirheadii nagasawae
Eurema andersoni
Prosotas nora formosana
Rapala varuna formosana
Tongeia hainani
Lethe europa
Jamides alecto dromicus
Papilio memnon
Junonia iphita
Caltoris cahira austeni
Notocrypta curvifascia
Celaenorrhinus maculosa
Cyrtarachne
Aclees taiwanensis
Lebeda nobilis
Hibiscus taiwanensis
Bungarus multicinctus
Deinagkistrodon acutus
Symplocos
Sarcopyramis napalensis delicata
Castanopsis carlesii
Pyracantha fortuneana
Lasianthus fordii
Celaenorrhinus oscula major
Halpe gamma
Eurema
Ochlodes bouddha
Harpactorinae
Balanophora laxiflora
Diploderma polygonatum xanthostomum
Ardisia cornudentata morrisonensis
Maesa japonica
Lecanoromycetes
Selaginella doederleinii
Plantae
Alpinia
Oudemansiella
Indotyphlops braminus
Hebius sauteri
Pseudagkistrodon rudis
Oligodon ornatus
Sinomicrurus swinhoei
Elaphe carinata
Abrodictyum clathratum
Pteris wallichiana
Cycas revoluta
Hygrophila ringens
Calanthe arisanensis
Ophiorrhiza japonica
Viola formosana
Hydrangea chinensis
Rubia linii
Raphanus sativus
Mazus fauriei
Coprinus
Pilea aquarum
Ageratina riparia
Viburnum luzonicum
Smilacaceae
Life
Sauria
Dicronocephalus bourgoini
Agave
Fabaceae
Arisaema ilanense
Coptis morii
Trochodendron aralioides
Styrax formosanus
Deutzia pulchra
Saiva formosana
Junonia orithya
Ascalaphinae
Lithocarpus glaber
Ranunculus
Piper kadsura
Trachelospermum asiaticum
Mictis serina
Vespa ducalis
Camponotus punctatissimus
Tradescantia fluminensis
Rhamnomia dubia dubia
Orgyia postica
Bredia oldhamii
Anoectochilus formosanus
Fungi
Elatostema platyphyllum
Paragymnopleurus ambiguus
Rhododendron latoucheae
Physopelta quadriguttata
Viola adenothrix
Trigonotis formosana elevatovenosa
Dindymus brevis
Rhinogobius candidianus
Delias pasithoe
Somena scintillans
Chrysochroa fulgidissima
Scolopendromorpha
Tracheophyta
Setaria palmifolia
Fatsia polycarpa
Diplazium doederleinii
Debregeasia orientalis
Justicia procumbens
Aralia decaisneana
Begonia formosana
Paraprenanthes sororia
Colocasia esculenta
Selaginella moellendorffii
Goliathini
Pouzolzia sanguinea elegans
Arcte coerula
Cheilanthes chusana
Pyrrosia polydactylos
Spiraea prunifolia
Campylotropis macrocarpa giraldii
Pseudocyclosorus esquirolii
Tetrapanax papyrifer
Senecio nemorensis dentatus
Cynoglossum zeylanicum
Eriocapitella vitifolia
Pomponia
Pilea microphylla
Nephila pilipes
Paraboea swinhoei
Ixeridium laevigatum
Leucaena leucocephala
Candidiopotamon rathbuni
Actias ningpoana
Bayadera brevicauda
Euphaea formosa
Plestiodon elegans
Bufo bankorensis
Menophra anaplagiata
Chrysaeglia magnifica
Nidirana adenopleura
Quercus longinux
Gentiana davidii formosana
Macrobrochis gigas
Thladiantha punctata
Lagerstroemia subcostata
Solanum betaceum
Nanocnide japonica
Gymnopleurini
Insecta
Radermachera sinica
Salvia hayatae
Lycianthes biflora
Thyrocarpus sampsonii
Oplismenus compositus
Odorrana swinhoana
Elaphe taeniura
Buergeria robusta
Nesiohelix swinhoei
Plectotropis mackensii
Zhangixalus moltrechti
Geastrum
Commelina auriculata
Lobelia nummularia
Thladiantha nudiflora
Okiscarta uchidae
Opiliones
Phraortes
Neodermaptera
Cantao ocellatus
Sinogomphus formosanus
