Motacilla alba
Rana sauteri
Cheirotonus formosanus
Limnonectes fujianensis
Scarabaeidae
Polypodiidae
Asplenium pseudolaserpitiifolium
Amblychia
Eurya crenatifolia
Machlolophus holsti
Viola formosana
Lycianthes biflora
Peperomia
Liparis gigantea
Plantago major
Zehneria
Begonia formosana
Goodyera procera
Gonostegia triandra
Erianthella formosana
Pollia miranda
Sida rhombifolia
Clelea formosana
Psolodesmus mandarinus
Phoenicurus fuliginosus
Musa itinerans chiumei
Agetocera
Orthetrum triangulare
Ageratum houstonianum
Matrona cyanoptera
Thomisidae
Tirumala septentrionis
Alocasia odora
Phlaeoba infumata
Solanum capsicoides
Leucauge
Mitrastemon yamamotoi yamamotoi
Vernicia montana
Erythrodes chinensis
Exsula dentatrix albomaculata
Heterostemma brownii
Alpinia kusshakuensis
Aeschynanthus acuminatus
Kurixalus idiootocus
Agaricomycetes
Lamprocoris lateralis
Cryptoderma formosense
Actinidia callosa discolor
Kurixalus eiffingeri
Sphenophorina
Bombus bicoloratus
Lepidoptera
Spirobolus formosae
Corydalis balansae
Leucauge blanda
Dolomedes
Languriini
Tettigonioidea
Psechrus clavis
Torenia concolor
Athyma
Psolodesmus mandarinus mandarinus
Araneae
Saurauia tristyla oldhamii
Setaria palmifolia
Debregeasia orientalis
Asplenium antiquum
Microporus affinis
Ricania simulans
Polyporales
Helicia formosana
Plantae
Arctiinae
Elatostema lineolatum
Drymaria cordata
Alsophila spinulosa
Styrax formosanus
Dicrurus aeneus
Alcippe morrisonia
Oriolus traillii
Hemiboea bicornuta
Monachosorum henryi
Hyblaea firmamentum
Lophura swinhoii
Anoplophora macularia
Sphaerostephanos taiwanensis
Sphaeropteris lepifera
Geophila herbacea
Pteris wallichiana
Haplopteris
Haplopteris elongata
Reholttumia truncata
Asplenium nidus
Nephrolepis biserrata
 
Pyrrhobryum
Codonacanthus pauciflorus
Blumea megacephala
Lasianthus fordii
Platostoma palustre
Fungi
Meteoriaceae
Cinnamomum burmanni
Pieridae
Coffea arabica
Leptoglossus gonagra
Momordica charantia charantia
Aralia bipinnata
Puhuaea sequax
Gymnanthemum amygdalinum
