Actinodura morrisoniana
Delichon dasypus
Trochalopteron morrisonianum
Liocichla steerii
Niltava vivida
Yuhina brunneiceps
Sphagnum
Petasites formosanus
Rhododendron formosanum
Ranunculus cantoniensis
Heterotropa
Pilea matsudae
Paris polyphylla stenophylla
Sanicula petagnioides
Disporum sessile intermedium
Ainsliaea henryi
Arisaema taiwanense
Dryopteris peranema
Viola formosana
Arachniodes amabilis fimbriata
Persicaria biconvexa
Coptis morii
Magnoliopsida
Ardisia japonica
Calocedrus formosana
Dryopteris
Hydrangea involucrata longifolia
Sarcopyramis napalensis delicata
Salvia
Mazus miquelii
Tricyrtis formosana glandosa
Eriocapitella vitifolia
Meghimatium
Myriactis humilis
Deutzia pulchra
Senna alata
Diplazium laxifrons
Dryopteris sparsa
Impatiens uniflora
Reynoutria japonica
Gaultheria leucocarpa cumingiana
Plantae
Monachosorum henryi
Acer palmatum
Polytrichaceae
Polypodiopsida
Atrichum
Pezizomycotina
Angiospermae
Lepidozia
Dryopteris formosana
Selaginella remotifolia
Neolitsea acuminatissima
Cryptomeria japonica
Ascomycota
Cunninghamia lanceolata
Rubus buergeri
Persicaria chinensis
Siglophora ferreilutea
Abaciscus tristis
Biston perclara
Samia wangi
Loepa formosensis
Notonagemia analis gressitti
Vamuna alboluteola
Tanaoctenia haliaria
Narosoideus flavidorsalis
Acosmeryx
Cechetra lineosa
Rhagastis castor formosana
Harpyia microsticta
Siglophora sanguinolenta
Oreta fuscopurpurea
Heloniopsis umbellata
Periaeschna magdalena
Psathyrella piluliformis
Nudaria ranruna
Eutrema japonicum
Dendrobium moniliforme
Stereocaulon ramulosum
Anoectochilus formosanus
Callistopteris polyanthos
Huperzia somae
Breutelia arundinifolia
Rhodobryum giganteum
Asarum ampulliflorum
Tripterospermum lanceolatum
Photinia niitakayamensis
Nidula niveotomentosa
Sphaerophorus
Bryopsida
Gaultheria borneensis
Pallavicinia lyellii
Conocephalum conicum
Dryopteris paleolata
Carpesium nepalense
Nertera nigricarpa
Rhododendron pseudochrysanthum
Stachyurus himalaicus
Ranunculus
Porella
Frullania
Makinoa crispata
Zhangixalus moltrechti
Oxalis griffithii
Pogonatum
Agaricomycetes
Illicium anisatum
Fungi
Tipula
Selaginella involvens
Diplopterygium glaucum
Rubus trianthus
Viburnum furcatum
Cirsium kawakamii
Bipalium
Sylvicola
Noctuoidea
Hymenophyllaceae
Sarcoscypha
Asimitellaria formosana
Plagiomnium
Pilea aquarum
Pteridium
Ophiorrhiza japonica
Araneoidea
Pellionia radicans
Basidiomycota
Rhododendron indicum
Rubus corchorifolius
Digitalis purpurea
Arisaema
Senecio nemorensis dentatus
Hydrangea chinensis
Dorcus miwai
Polygonia c-aureum lunulata
Neanotis formosana
Eurya glaberrima
Trichosanthes rosthornii
Hypericum taihezanense
Anaphalis morrisonicola
Persicaria
Ophiopogon intermedius
Eurya crenatifolia
Toxicodendron orientale
Rubus croceacanthus croceacanthus
Notoseris melanantha
Astilbe longicarpa
Sikkimia tsoui
Callistethus formosanus
Tanna ornatipennis
Cirsium suzukii
Spiraea formosana
Rubus taitoensis
Ectinohoplia yoi
Melanoplinae
Diphasiastrum complanatum
Pleurozia
Artona hainana
Nacna malachitis
Tanaorhinus formosana
Taiwania cryptomerioides
Symplocos lancifolia
Damnacanthus angustifolius
Cunninghamia
Melastoma candidum
Ficus erecta
Setaria palmifolia
Oreocnide pedunculata
Callicarpa formosana
Mosla scabra
Muntiacus reevesi
Clerodendrum trichotomum
Acer serrulatum
Carex cruciata
Nephrolepis cordifolia cordifolia
Maesa japonica
Smilacaceae
Ficus erecta beecheyana
Litsea acuminata
Alniphyllum pterospermum
Cucurbitaceae
Alocasia odora
Saurauia tristyla oldhamii
Alsophila spinulosa
Blechnum orientale
Plestiodon elegans
Euprepiophis mandarinus
Anoratha sinuosa
Aegithalos concinnus
Parus monticolus
Pomatorhinus musicus
Cyanoderma ruficeps
Geranium thunbergii
Clinopodium gracile
Eupatorium formosanum
Parmeliaceae
Pourthiaea villosa
Cirsium arisanense
Lophura swinhoii
Bartramiaceae
Martes flavigula
Lysimachia congestiflora
Shortia rotundifolia
Gentiana davidii formosana
Myrmechis drymoglossifolia
Rubus rolfei
Bryum
Plagiogyria euphlebia
Pseudognaphalium affine
Sewa taiwana
Micronidia intermedia
Mazus alpinus
Alnus formosana
Chamaecyparis obtusa formosana
Stellaria media
Lycopodium japonicum
Cardamine flexuosa
Cephalotaxus harringtonia wilsoniana
Asarum taipingshanianum
Muscicapa ferruginea
Haplopteris elongata
Sambucus javanica
Pleione formosana
Myophonus insularis
Heterophasia auricularis
Rubus formosensis
Viola adenothrix
Cercopoidea
Helicoidea
Ranunculaceae
Scolopendra mutilans
Cirsium
Polygonum
Nubelaria arisanensis
Strobilanthes rankanensis
Araceae
Veronica taiwanica
Neolitsea
Disporum
Thalictrum urbainii
Gentiana flavomaculata
Trigonotis formosana elevatovenosa
Cardamine
Mazus
Thalictrum
Cerastium glomeratum
Trochodendron aralioides
Onagraceae
