Dryopteris peranema
Oenanthe javanica
Excoecaria cochinchinensis
Rhododendron
Prunus persica
Heptapleurum arboricola
Citrus maxima
Eutacta
Trema orientale
Piper kadsura
Nephrolepis cordifolia
Persicaria chinensis
Ficus microcarpa
Juniperus chinensis
Prunus mume
Crassocephalum crepidioides
Mazus pumilus
Plantago major
Ranunculus cantoniensis
Clinopodium gracile
Polypogon fugax
Potentilla
Theaceae
Platycladus orientalis
Tracheophyta
Callicarpa formosana
Deutzia pulchra
Osmanthus fragrans
Bidens alba
Phalaenopsis
Halmus chalybeus
Polyporales
Therates fruhstorferi sauteri
Muntiacus reevesi
Buergeria otai
Trigoniulus tertius
Actinidia setosa
Sambucus javanica
Scleroderma citrinum
Entoloma murrayi
Laccaria laccata
Diplopterygium glaucum
Plagiogyria glauca
Daphniphyllum macropodum
Quercus morii
Rhododendron latoucheae
Persicaria biconvexa
Leucauge celebesiana
Melanitis phedima polishana
Elymnias hypermnestra
Neptis hylas luculenta
Ypthima multistriata
Eurema blanda arsakia
Ruidocollaris truncato-lobata
Dennstaedtia scandens
Neptis
Graphium sarpedon
Oudemansiella mucida
Chamaecyparis formosensis
Fagus hayatae
Merus flavosignatus
Neocollyris
Polistes takasagonus
Tanaemyrmex
Heteropodinae
Pleione formosana
Kurixalus idiootocus
Kallima inachus formosana
Celaenorrhinus maculosa
Kaniska canace
Euploea eunice hobsoni
Ypthima baldus zodina
Athyma selenophora laela
Ricania simulans
Huperzia serrata serrata
Heloniopsis umbellata
Trombidium
Selaginella delicatula
Bryopsida
Lemmaphyllum microphyllum
Hydrocotyle
Potentilla hebiichigo
Pilea peploides
Boehmeria densiflora
Calamus formosanus
Arisaema ringens
Hypsipetes leucocephalus nigerrimus
Paulownia × taiwaniana
Stachyurus himalaicus
Cosmoscartini
Strongylium albopilosum
Alleculinae
Telchinia issoria
Henosepilachna vigintioctopunctata
Papilio protenor
Dacrymyces spathularia
Tetrastigma obtectum glabrum
Apis cerana
Buergeria choui
Ceracupes
Pilea melastomoides
Spilarctia
Crepidomanes minutum
Davallia trichomanoides
Dischidia formosana
Verbena bonariensis
Juglans mandshurica mandshurica
Lamprocoris lateralis
Cynoglossum zeylanicum
Epilachninae
Basidiomycota
Angiopteris lygodiifolia
Noctuinae
Turpinia formosana
Urocissa caerulea
Macaca cyclopis
Lilium formosanum
Pisauridae
Periplaneta australasiae
Leucauge
Heteropoda venatoria
Bufo bankorensis
Plectotropis mackensii
Gastropoda
Chrysaeglia magnifica
Lepidoptera
Juliformia
Scutigeridae
Araneae
Argiope aetheroides
Platypleura takasagona
Statilia maculata
Pantala flavescens
Alocasia odora
Musa itinerans
Aeschynanthus acuminatus
Pteris wallichiana
Elatostema lineolatum
Sphaerostephanos taiwanensis
Urtica thunbergiana
Solanum pseudocapsicum
Ardisia virens
Cinnamomum camphora
Setaria palmifolia
Miscanthus
Fungi
Ctenitis subglandulosa
Diplazium esculentum
Pothos chinensis
Clerodendrum trichotomum
Diplazium laxifrons
Colocasia esculenta
Cunninghamia lanceolata
Rubus rolfei
Plantae
Okiscarta uchidae
Thereuonema tuberculata
Cunninghamia
Conocephalus melaenus
Alsophila spinulosa
Onthophagini
Lyriothemis elegantissima
Berberis
Choerocampina
Pheidole
Macrothelypteris torresiana
Persicaria longiseta
Formicidae
Rhododendron × pulchrum
Orthetrum triangulare
Paspalum urvillei
Pompilidae
Justicia procumbens
Nymphalinae
Plantago asiatica
Ruellia simplex
Papilio
Ageratum houstonianum
Musa
Debregeasia orientalis
Goodyera schlechtendaliana
Calanthe
Zingiberaceae
Sarcopyramis napalensis delicata
Cryptocephalus
Physosmaragdina nigrifrons
Timomenus
Urva urva
Ninox japonica
Dendrocitta formosae
Heimiomyces tenuipes
Matrona cyanoptera
Vanessa indica
Myophonus insularis
Bungarus multicinctus
Clelea formosana
Martes flavigula
Pseudodeltote coenia
Woodwardia
Tachinidae
Asplenium antiquum
Neolitsea konishii
Turpinia
Amischotolype glabrata
Oreocnide pedunculata
Hydrangea chinensis
Elatostema platyphyllum
Drymaria cordata
Torenia concolor
Bryophyta
Rubus swinhoei
Epipremnum pinnatum
Acer serrulatum
Ardisia sieboldii
Morphosphaera chrysomeloides
Acridoidea
Solanum americanum
Pteris vittata
Mazus fauriei
Arenga engleri
Ixeridium laevigatum
Asplenium nidus
Ranunculus
Scopula yamanei
Ganisa formosicola
Nudaria suffusa
Sterrhini
Hemidactylus bowringii
Thomisidae
Melanostoma
Herennia multipuncta
Nyctemera formosana
Megacampsomeris
Symbrenthia brabira scatinia
Gampola
Nematocera
Mammalia
Haplopteris elongata
