,all,BaoYan,CuKeng,FanFan,FuBuEr,MeiLuo,MeiYou,NanShi,QingShui,SongLuo,SanGuang,TianGou,TuChang
0,['Limnonectes fujianensis'],0,1,0,0,0,0,1,0,1,0,0,0
1,['Agathia laetata'],0,0,0,0,0,0,1,1,0,0,0,0
2,['Cyana quadripartita'],0,0,1,0,0,0,1,0,0,0,0,0
3,['Lycodon ruhstrati'],0,1,1,0,0,0,1,0,1,0,1,1
4,['Pareas atayal'],0,1,0,0,0,0,1,0,0,1,0,0
5,['Myophonus insularis'],0,0,1,0,0,1,1,0,0,0,1,1
6,['Urocissa caerulea'],0,1,0,0,0,0,1,0,1,0,0,1
7,['Actinodura morrisoniana'],0,0,0,0,0,0,0,0,0,0,0,0
8,['Delichon dasypus'],0,0,0,0,0,0,0,0,0,0,1,0
9,['Trochalopteron morrisonianum'],0,0,0,0,0,0,0,0,0,0,1,0
10,['Hypsipetes leucocephalus'],0,1,1,0,0,0,1,0,1,1,0,0
11,['Liocichla steerii'],0,0,1,0,0,0,0,0,0,1,1,0
12,['Niltava vivida'],0,0,0,0,0,0,0,0,0,0,1,0
13,['Yuhina brunneiceps'],0,0,1,0,0,0,1,0,0,1,1,0
14,['Diploderma polygonatum xanthostomum'],0,1,1,0,0,0,1,0,1,1,0,0
15,['Erasmia pulchella hobsoni'],0,1,0,0,0,0,1,1,1,0,0,0
16,['Fejervarya limnocharis'],0,1,0,0,0,0,1,1,1,0,0,0
17,['Hylarana latouchii'],0,1,1,0,0,0,1,0,1,1,0,1
18,['Buergeria choui'],0,1,1,0,0,0,1,0,0,1,0,1
19,['Lissachatina immaculata'],0,0,0,0,0,0,1,0,0,0,0,0
20,['Zhangixalus taipeianus'],0,1,0,0,0,0,1,0,0,1,0,0
21,['Polyura narcaea meghaduta'],0,0,0,0,0,0,0,0,0,1,0,0
22,['Harmonia dimidiata'],0,1,0,0,0,0,1,0,0,1,0,1
23,['Itea oldhamii'],0,1,1,0,0,0,1,0,0,0,0,0
24,['Peperomia japonica'],0,1,1,0,0,0,1,0,1,0,0,1
