date,lat,lon,scientific_name,common_name,iconic_taxon_name,taxon_id,river
2010/7/31 00:00,24.831688,121.527092,Odorrana swinhoana,斯文豪氏赤蛙,Amphibia,66264,NanShi
2010/7/31 00:00,24.831299,121.527436,Limnonectes fujianensis,福建大頭蛙,Amphibia,25935,NanShi
2014/8/11 00:00,24.848807,121.551207,Agathia laetata,Y紋豔青尺蛾,Insecta,210994,NanShi
2014/8/11 00:00,24.848807,121.551207,Cyana quadripartita,三斑叉紋雪苔蛾,Insecta,717211,NanShi
2014/5/5 00:00,24.673784,121.403566,Lycodon ruhstrati,白梅花蛇,Reptilia,67713,SanGuang
2014/5/3 00:00,24.662864,121.407171,Pareas atayal,泰雅鈍頭蛇,Reptilia,517749,SanGuang
2012/10/11 00:00,24.827427,121.526535,Myophonus insularis,台灣紫嘯鶇,Aves,73078,NanShi
,24.864618,121.551869,Urocissa caerulea,台灣藍鵲,Aves,8415,NanShi
2014/5/26 00:00,24.52173638,121.5386581,Actinodura morrisoniana,紋翼畫眉,Aves,15470,TianGou
2014/5/26 00:00,24.51906961,121.5379715,Delichon dasypus,東方毛腳燕,Aves,11876,TianGou
2014/5/26 00:00,24.51267772,121.5390015,Trochalopteron morrisonianum,台灣噪眉,Aves,339867,TianGou
2014/5/25 00:00,24.619354,121.488533,Hypsipetes leucocephalus,紅嘴黑鵯,Aves,204524,FanFan
2014/5/26 00:00,24.51350291,121.5456963,Liocichla steerii,黃胸藪眉,Aves,15590,TianGou
2014/5/26 00:00,24.51537716,121.5343666,Niltava vivida,黃腹仙鶲,Aves,12805,TianGou
2014/5/26 00:00,24.5236105,121.553421,Yuhina brunneiceps,冠羽畫眉,Aves,15323,TianGou
2014/5/27 00:00,24.60841127,121.6470444,Diploderma polygonatum xanthostomum,黃口攀蜥,Reptilia,797782,QingShui
2016/9/18 00:00,24.8663721,121.5497801,Erasmia pulchella hobsoni,山龍眼螢斑蛾,Insecta,523634,NanShi
