Zhangixalus moltrechti
Whytockia sasakii
Viola diffusa
Vaccinium delavayi merrillianum
Tipularia odorata
Taiwania cryptomerioides
Syrmaticus mikado
Symplocos anomala
Smilax bracteata
Sinopanax formosanus
Senecio nemorensis dentatus
Scopula divisaria
Saussurea glandulosa
Sassafras randaiense
Sarcopyramis napalensis delicata
Sarasinula plebeia
Rubus rolfei
Rubus
Quercus tatakaensis
Pseudoxenodon stejnegeri
Pseudocyclosorus esquirolii
Prunus transarisanensis
Phlegmariurus fordii
Papilio maraho
Orthetrum pruinosum
Orchidaceae
Nertera nigricarpa
Neottia japonica
Mycena
Magnoliopsida
Maesa japonica
Macleaya cordata
Lophura swinhoii
Lilium formosanum
Liliaceae
Ligustrum
Leibnitzia anandria
Jungermanniales
Impatiens tayemonii
Idesia polycarpa
Hymenophyllum oligosorum
Harmonia dimidiata
Goodyera schlechtendaliana
Gentiana itzershanensis
Garrulus glandarius taivanus
Eucosia cordata
Epipogium roseum
Dysosma pleiantha
Dryopteris paleolata
Dryopteris maximowicziana
Dorcus schenklingi
Diploderma
Dicronocephalus bourgoini
Cyrtomium taiwanianum
Cymbidium lancifolium aspidistrifolium
Cupressaceae
Cunninghamia konishii
Corvus macrorhynchos colonorum
Chamaecyparis obtusa formosana
Chamaecyparis formosensis
Cephalotaxus harringtonia wilsoniana
Capricornis swinhoei
Calocedrus formosana
Bletilla formosana
Berberis hayatana
Astilbe longicarpa
Anaphalis morrisonicola
Amaranthus
Albizia julibrissin
Acanthophippium striatum
