Zygiella
Zoraida
Zoothera
Zeuxine integrilabella
Zanthoxylum asiaticum
Zanthoxylum ailanthoides ailanthoides
Zanthoxylum ailanthoides
Yushania niitakayamensis
Yuhina brunneiceps
Ypthima akragas
Youngia japonica monticola
Youngia japonica
Xystodesmidae
Xysticus croceus
Xeromphalina campanella
Xerodes albonotaria
Woodwardia unigemmata
Woodwardia prolifera
Woodsia polystichoides
Wiesnerella denudata
Vitaceae
Viscum coloratum
Viola shinchikuensis
Viola senzanensis
Viola inconspicua
Viola grypoceras
Viola formosana kawakamii
Viola formosana
Viola betonicifolia
Viola arcuata
Viola adenothrix
Viola
Vigna radiata
Vicia tetrasperma
Viburnum urceolatum
Viburnum taitoense
Viburnum propinquum
Viburnum plicatum formosanum
Viburnum plicatum
Viburnum parvifolium
Viburnum luzonicum
Viburnum furcatum
Viburnum foetidum rectangulatum
Viburnum erosum
Viburnum betulifolium
Viburnum arboricolum
Viburnum
Vespa vivax
Vespa mandarinia
Vespa basalis
Vertomannus emeia
Vertebrata
Veronica persica
Veronica oligosperma
Veronica morrisonicola
Veronica hederifolia
Veronica arvensis
Verbena incompta
Verbena bonariensis
Verbena
Veratrum formosanum
Velutinodorcus carinulatus
Vanessa indica
Valeriana officinalis
Valeriana hsui
Valeriana flaccidissima
Valeriana fauriei
Valeriana
Vaccinium japonicum
Usnea
Urticaceae
Urtica thunbergiana
Uloma
Ulmus uyematsui
Ulmus
Ulmaceae
Typopeltis crucifer
Typha
Turdus niveiceps
Tubocapsicum anomalum
Tsutsusi
Tsuga chinensis formosana
Tsuga chinensis
Tsuga
Trypoxylus dichotomus tsunobosonis
Trombidioidea
Trombidiidae
Troglodytes troglodytes
Trochodendron aralioides
Trochalopteron morrisonianum
Tripterospermum luzonense
Tripterospermum lanceolatum
Tripterospermum
Trimeresurus stejnegeri
Trimeresurus gracilis
Trigonotis nankotaizanensis
Trigonotis formosana elevatovenosa
Trigonotis formosana
Trigonophorus rothschildi varians
Trigonophorus dilutus
Trifolium repens
Trifolium dubium
Tricyrtis formosana glandosa
Tricyrtis formosana
Tricyrtis
Trichosanthes homophylla
Trichaptum
Treron sieboldii
Tremella mesenterica
Tremella
Trametes
Tracheophyta
Trachelospermum lucidum
Trachelospermum
Toxicodendron orientale
Torilis japonica
Torenia concolor
Tirumala septentrionis
Tipuloidea
Tipulinae
Tipula
Timandra
Thuidium
Thomisidae
Thladiantha nudiflora
Therates alboobliquatus
Themus sauteri
Themus
Thaumetopoea pityocampa
Thalictrum
Tetrigoidea
Tetrigidae
Tetrastigma obtectum glabrum
Tetrapanax papyrifer
Tetradium ruticarpum
Tetradium glabrifolium
Tetradium
Ternstroemia gymnanthera
Tephritoidea
Tenthredo
Telicota ohara formosana
Taxus mairei
Taxillus nigrans
Tarsiger johnstoniae
Tarsiger
Tanna
Tanaorhinus
Taiwania cryptomerioides
Taiwania
Taicallimorpha albipuncta
Tachinidae
Syrphini
Syrphidae
Syneilesis subglabrata
Symplocos wikstroemiifolia
Symplocos migoi
Symplocos lancifolia
Symplocos anomala
Symplocos
Symphytum officinale
Sycopsis sinensis
Swertia macrosperma
Styrax formosanus
Stylommatophora
Strophariaceae
Strobilomyces strobilaceus
Strobilanthes rankanensis
Strobilanthes
Stolonosae
Stereaceae
Stenodemini
Stemonitis axifera
Stellaria vestita
Stellaria reticulivena
Stellaria media
Stellaria
Stauntonia obovatifoliola
Stachyurus himalaicus
Spiraea prunifolia
Spiraea formosana
Spiraea
Spilornis cheela
Sphagnum
Sonchus oleraceus
Sonchus arvensis
Solidago decurrens
Solidago
Solanum tuberosum
Solanum americanum
Smilax vaginata
Smilax lanceifolia
Smilax china
Smilax
Skimmia japonica orthoclada
Skimmia japonica
Sitta europaea
Sinosuthora webbiana
Sinogomphus formosanus
Silene morrisonmontana glabella
Silene baccifera
Serrognathus titanus sika
Serrodes
Sephisa daimio
Senecio vulgaris
Senecio scandens
Senecio nemorensis dentatus
Senecio nemorensis
Selliguea quasidivaricata
Selaginella tamariscina
Selaginella remotifolia
Selaginella moellendorffii
Selaginella involvens
Selaginella doederleinii
Selaginella delicatula
Selaginella
Sedum morrisonense
